physical_score,damage_score,refurbish_value
3.45,0.64,5.81
5.3,0.75,6.88
5.4,5.1,5.2
4.25,7.29,3.63
5.85,7.93,4.34
6.75,0.51,7.85
5.75,8.06,4.23
8.25,1.35,8.41
8.3,2.81,7.86
3.3,5.9,3.62
6.55,4.36,6.19
6.1,10.0,3.66
5.05,5.12,4.98
6.5,9.76,4.0
8.45,8.98,5.48
3.25,8.53,2.54
7.05,1.51,7.63
6.1,4.71,5.78
8.4,1.03,8.63
6.15,0.77,7.38
9.15,6.51,6.89
5.75,9.24,3.75
4.1,7.69,3.38
6.15,6.76,4.99
5.75,6.7,4.77
3.75,1.87,5.5
7.0,6.02,5.79
5.45,1.71,6.59
4.5,5.99,4.3
4.6,0.19,6.68
3.7,8.36,2.88
6.9,9.86,4.2
6.75,5.86,5.71
4.8,2.93,5.71
7.75,3.34,7.31
4.85,0.86,6.57
4.0,6.4,3.84
3.7,2.88,5.07
4.15,6.35,3.95
4.8,7.99,3.68
6.25,7.6,4.71
5.85,8.0,4.31
5.45,5.51,5.07
4.05,6.39,3.87
6.8,0.14,8.02
4.45,6.46,4.09
2.75,0.88,5.3
3.8,7.92,3.11
6.55,6.43,5.36
3.3,9.63,2.13
